,cluster_1,cluster_2
accuracy,0.9965115894587178,0.9991431194532286
precision,0.4034090909090909,0.375
recall,0.993006993006993,0.9230769230769231
f1_score,0.5737373737373737,0.5333333333333333
roc_auc,0.9947634438047576,0.9611302066240931
